"start_date","end_date","caseid","activity","Impact","Cle_de_demande","Priorite","Statut_du_Ticket"
2020-06-24T11:53:35.000Z,2020-06-24T11:53:35.000Z,"TCK2520006","Snow_Date_heure_de_survenance","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-24T12:02:00.000Z,2020-06-24T12:02:00.000Z,"TCK2520006","jira_Creation","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:00.000Z,2020-06-29T14:22:00.000Z,"TCK2520006","jira_Resolue","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:00.000Z,2020-06-29T14:22:00.000Z,"TCK2520006","jira_Mise_a_jour","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:24.000Z,2020-06-29T14:22:24.000Z,"TCK2520006","Snow_Date_derniere_modif_Etudes","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-06-29T14:22:24.000Z,2020-06-29T14:22:24.000Z,"TCK2520006","Snow_Date_heure_de_fin","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
2020-08-19T09:00:08.000Z,2020-08-19T09:00:08.000Z,"TCK2520006","Snow_Mis_a_jour","3-Moyen","TMABAD-21473","3 - Moyenne","Fermé"
